settlement_period,forecast_wind_mw,national_demand_mw,embedded_solar_generation_mw,price_gbp
2019-07-01 00:00:00,7939.0,18248,0,21.75
2019-07-01 01:00:00,8130.0,17687,0,19.65
2019-07-01 02:00:00,8238.0,17143,0,17.99
2019-07-01 03:00:00,8365.0,17087,0,14.92
2019-07-01 04:00:00,8497.0,17140,52,21.84
2019-07-01 05:00:00,8621.0,20971,488,39.53
2019-07-01 06:00:00,8718.0,25454,1320,41.0
2019-07-01 07:00:00,8717.0,27507,2180,38.0
2019-07-01 08:00:00,8650.0,27643,3310,34.71
2019-07-01 09:00:00,8596.0,26957,4000,30.35
2019-07-01 10:00:00,8534.0,26402,5140,30.0
2019-07-01 11:00:00,8425.0,26148,6020,31.85
2019-07-01 12:00:00,8281.0,25747,6350,30.64
2019-07-01 13:00:00,8126.0,25927,5900,30.64
2019-07-01 14:00:00,7906.0,26391,5410,27.8
2019-07-01 15:00:00,7724.0,27684,4450,35.7
2019-07-01 16:00:00,7547.0,29442,3480,34.99
2019-07-01 17:00:00,7265.0,29446,2450,41.0
2019-07-01 18:00:00,6894.0,29474,1530,45.46
2019-07-01 19:00:00,6297.0,28867,613,47.2
2019-07-01 20:00:00,5635.0,28416,48,48.0
2019-07-01 21:00:00,5013.0,27451,2,42.71
2019-07-01 22:00:00,4594.0,24584,1,44.98
2019-07-01 23:00:00,3331.0,22083,0,38.57
2019-07-02 00:00:00,3155.0,21033,0,33.0
2019-07-02 01:00:00,3158.0,20408,0,31.84
2019-07-02 02:00:00,3175.0,19824,0,31.78
2019-07-02 03:00:00,3243.0,19723,0,31.47
2019-07-02 04:00:00,3304.0,20069,66,31.49
2019-07-02 05:00:00,3315.0,23396,782,37.0
2019-07-02 06:00:00,3369.0,27848,1850,36.0
2019-07-02 07:00:00,3408.0,28976,3420,41.92
2019-07-02 08:00:00,3409.0,28531,4810,42.0
2019-07-02 09:00:00,3389.0,28110,5890,38.33
2019-07-02 10:00:00,3379.0,28261,5850,37.87
2019-07-02 11:00:00,3430.0,28159,6010,39.0
2019-07-02 12:00:00,3523.0,27925,5980,35.35
2019-07-02 13:00:00,3654.0,27825,5810,31.98
2019-07-02 14:00:00,3703.0,27786,5320,34.69
2019-07-02 15:00:00,3787.0,28934,4670,42.1
2019-07-02 16:00:00,3838.0,30507,3750,51.45
2019-07-02 17:00:00,3755.0,30775,2420,51.43
2019-07-02 18:00:00,3627.0,31271,1370,50.3
2019-07-02 19:00:00,3359.0,30501,473,45.0
